Time,Detector Score,Classification,Classification Score,BirdVoxClassify Order,BirdVoxClassify Order Confidence,BirdVoxClassify Family,BirdVoxClassify Family Confidence,BirdVoxClassify Species,BirdVoxClassify Species Confidence
583.67,63.07159423828125,Call.Turdidae,51.21052861213684,Passeriformes,99.70264434814453,Turdidae,51.21052861213684,OTHE,99.81877505779266
585.3,60.586822509765625,Call.Turdidae,98.85623455047607,Passeriformes,99.973464012146,Turdidae,98.85623455047607,OTHE,88.96309435367584
586.19,60.86439514160156,Call.Passerellidae,80.39467930793762,Passeriformes,99.8684287071228,Passerellidae,80.39467930793762,OTHE,73.92868101596832
587.37,79.40812683105469,Call.Passeriformes,99.9998688697815,Passeriformes,99.9998688697815,other,88.0170226097107,OTHE,88.0170226097107
588.11,60.675567626953125,,,other,60.519686341285706,other,60.519686341285706,OTHE,60.519686341285706
588.36,61.998291015625,Call.SWTH,84.91244316101074,Passeriformes,99.57435131072998,Turdidae,99.58739280700684,SWTH,84.91244316101074
593.44,55.204524993896484,Call.Turdidae,89.35562372207642,Passeriformes,99.03491735458374,Turdidae,89.35562372207642,OTHE,99.3700236082077
595.76,54.827720642089844,Call.Passerellidae,69.83164548873901,Passeriformes,99.93992447853088,Passerellidae,69.83164548873901,OTHE,75.88835954666138
623.83,61.29375457763672,Call.Passerellidae,80.72457313537598,Passeriformes,99.9984860420227,Passerellidae,80.72457313537598,OTHE,90.93095064163208
647.27,50.816261291503906,Call.Turdidae,99.89543557167053,Passeriformes,99.99783039093018,Turdidae,99.89543557167053,OTHE,76.60694420337677
651.56,63.19755554199219,Call.Turdidae,99.85438585281372,Passeriformes,99.99924898147583,Turdidae,99.85438585281372,OTHE,89.4902229309082
658.08,61.89976501464844,Call.Turdidae,87.1304988861084,Passeriformes,96.23496532440186,Turdidae,87.1304988861084,OTHE,93.33355724811554
661.97,82.62553405761719,Call.Turdidae,98.56081008911133,Passeriformes,99.99446868896484,Turdidae,98.56081008911133,OTHE,96.24870419502258
666.71,64.76669311523438,Call.Turdidae,93.70400309562683,Passeriformes,97.3974883556366,Turdidae,93.70400309562683,OTHE,91.96911752223969
669.43,58.255592346191406,Call.Turdidae,96.564781665802,Passeriformes,99.59522485733032,Turdidae,96.564781665802,OTHE,99.45662915706635
675.84,54.25354766845703,Call.Turdidae,91.91267490386963,Passeriformes,99.97159242630005,Turdidae,91.91267490386963,OTHE,99.18853044509888
698.54,57.62068176269531,Call.Turdidae,57.34952092170715,Passeriformes,99.30332899093628,Turdidae,57.34952092170715,OTHE,99.50780868530273
699.67,63.68421936035156,Call.Turdidae,98.22509288787842,Passeriformes,99.78175163269043,Turdidae,98.22509288787842,OTHE,97.940394282341
700.86,99.98999786376953,Call.Turdidae,97.14035391807556,Passeriformes,99.83665347099304,Turdidae,97.14035391807556,OTHE,93.09068024158478
705.4,54.80979919433594,Call.Turdidae,65.12647867202759,Passeriformes,99.83172416687012,Turdidae,65.12647867202759,OTHE,94.539475440979
707.42,99.98999786376953,Call.Turdidae,96.7353880405426,Passeriformes,92.1822190284729,Turdidae,96.7353880405426,OTHE,97.75155782699585
713.49,62.13673400878906,Call.GCTH,59.31919813156128,Passeriformes,99.99558925628662,Turdidae,99.229896068573,GCTH,59.31919813156128
716.65,82.32774353027344,Call.Turdidae,54.403674602508545,Passeriformes,92.63485670089722,Turdidae,54.403674602508545,OTHE,99.97973144054413
720.59,52.41442108154297,Call.Passerellidae,63.816893100738525,Passeriformes,89.95055556297302,Passerellidae,63.816893100738525,OTHE,62.63367533683777
723.75,63.09944152832031,Call.Turdidae,99.22873973846436,Passeriformes,97.26461172103882,Turdidae,99.22873973846436,OTHE,90.81211388111115
724.54,57.708778381347656,Call.Turdidae,96.34835720062256,Passeriformes,99.93702173233032,Turdidae,96.34835720062256,OTHE,95.96164226531982
